Phylum,Class,Order,Family,Genus
,,GCA-2747355,UBA1381,UBA11704
,,HGW-17,UMGS1810,CAIXMG01
,,Palsa-1104_A,UMGS1883,CAITQP01
,,Palsa-1104,HGM11501,JAGOSA01
,,Haliangiales,UMGS1540,UBA8515
,,JAAYKL01,RUG12999,JAGOSH01
,,DRWM01,CAG-508,UBA9973
,,Polyangiales,UBA1234,MFUC01
,,CAIXZC01,CAG-465,UBA4124
,,DTJE01,RGIG9151,HRBIN35
,,GCA-2863065,Saccharofermentanaceae,JACRHW01
,,PHBI01,UBA5734,1-14-0-10-42-22
,,UBA9042,DTU023,2-02-FULL-42-16
,,UBA7976,Fastidiosipilaceae,VMGU01
,,UBA4248,DUPQ01,20-14-all-54-14
,,REDH01,RGIG7378,DSVP01
,,Bradymonadales,UBA1257,CAIWCR01
,,RBG-13-61-14,UBA1212,VGJV01
,,Desulfovibrionales,UBA1255,VMFW01
,,UBA2233,DSM-8532,UBA9933
,,Leptospirillales,Acetivibrionaceae,UBA10122
,,Thiohalorhabdales,DUMC01,JACQLN01
,,Burkholderiales,DUMB01,2-02-FULL-40-12
,,UBA7916,DTU013,2-01-FULL-41-26
,,LLD-282,DSM-27016,2-01-FULL-43-22
,,UBA2770,Anaerotignaceae,2-01-FULL-39-28
,,Porisulfidales,CAG-274,2-01-FULL-44-22
,,UBA6729,WRAX01,2-01-FULL-41-21
,,Woeseiales,WRAA01,2-01-FULL-44-17
,,UBA6522,WQUN01,JACPNK01
,,UBA11654,UBA5962,UBA10092
,,RKRP01,JAAYNZ01,JACPHB01
,,CACJXQ01,Defluviitaleaceae,LCKU01
,,SAR86,Cellulosilyticaceae,JACQRW01
,,Evansiales,Lachnospiraceae,02-FULL-45-17b
,,Enterobacterales_A,UBA1390,2-01-FULL-46-13
,,PIVX01,Vallitaleaceae,2-01-FULL-45-33
,,GCA-002705445,DSM-24629,GWA1-44-29
,,JABDMI01,UBA12420,MFHE01
,,Cardiobacteriales,Thermosediminibacteraceae,GWA1-44-25
,,Thiomicrospirales,Tepidanaerobacteraceae,JACOYI01
,,PS1,Koleobacteraceae,HO2-45-28
,,Piscirickettsiales,Proteinivoraceae,1-14-0-10-46-36
,,Pseudomonadales,UBA4975,JAHIER01
,,Enterobacterales,Natranaerobiaceae,SZUA-82
,,CACEW01,SKNC01,SURF-57
,,Francisellales,UBA8154,M10-OD1-4
,,Berkiellales,DTU022,MEYI01
,,UBA6186,PWGO01,GWB1-40-14
,,JABDGN01,PWVN01,PWMZ01
,,JABCZS01,Dethiobacteraceae,PWPS01
,,UBA12402,DTU030,T1SED10-78
,,DSM-16500,DUMP01,PWNV01
,,Diplorickettsiales,UBA2595,PWHW01
,,CAISUE01,Desulfofarciminaceae,PEYH01
,,Coxiellales,Desulfotomaculaceae,O2-01-FULL-48-27b
,,UBA6002,Desulfohalotomaculaceae,JACQLT01
,,UBA9339,Pelotomaculaceae,GWA2-46-15
,,Legionellales,VENG01,UBA5633
,,UBA1113,Desulfallaceae,UBA5738
,,QZLD01,Nap2-2B,PFMI01
,,GCF-002020875,Desulfovirgulaceae,01-FULL-38-12b
,,Methylococcales,Desulfocucumaceae,XYB1-FULL-32-11
,,JABHGC01,Ammonificaceae,XYD1-FULL-39-28
,,SZUA-21,UBA12532,JACPGX01
,,JAADHQ01,Desulforudaceae,RBG-13-36-15
,,HTCC5015,Carboxydothermaceae,Paceibacter
,,Granulosicoccales,Desulfitobacteriaceae,JAHIHE01
,,GCA-001735895,Syntrophobotulaceae,WO2-40-15
,,SZUA-229,Heliobacteriaceae,CG1-02-40-82
,,SpSt-1174,UBA5745,UBA8475
,,Ectothiorhodospirales,DTU073,SW-4-49-11
,,Thiotrichales,DRI-13,UBA2773
,,UWMA-0217,BICA1-8,UBA2772
,,JACCYU01,SKKY01,GCA-016699975
,,UBA4575,Peptococcaceae,JAAXTX01
,,Nitrococcales,Dehalobacteriaceae,SSEF01
,,XJ16,UBA7702,JAGOSP01
,,Halothiobacillales,UBA4068,UBA1568
,,JAABTG01,UBA5755,M50B92
,,HK1,TC1,UBA2206
,,Beggiatoales,UBA5767,UBA9630
,,JACCXJ01,Ch109,UBA2282
,,UBA7966,Syntrophomonadaceae,UBA8518
,,Ga0077536,DTU052,UBA9337
,,UBA4486,Syntrophothermaceae,UBA12053
,,Nitrosococcales,DULZ01,CAIPMZ01
,,JAADGQ01,PH28-bin88,UBA12068
,,Ga0077554,DTU086,UBA11712
,,SURF-13,JADQBR01,UBA1384
,,CAIRSR01,Desulfitibacteraceae,GWA2-35-9
,,GCA-2400775,Moorellaceae,PWIP01
,,JADJWH01,SLTJ01,UBA2022
,,SZUA-140,Thermacetogeniaceae,UBA12078
,,SZUA-76,Acidaminococcaceae,UBA2177
,,Tenderiales,JAGOZY01,UBA5232
,,SG8-11,Negativicoccaceae,UBA5209
,,SZUA-152,Dialisteraceae,UBA2259
,,S140-43,Veillonellaceae,GCA-002793355
,,DRMK01,Megasphaeraceae,S139-149
,,JABURT01,Propionisporaceae,9FT-COMBO-53-11
,,UBA6429,Dendrosporobacteraceae,OXYD1-FULL-39-9
,,Thiohalomonadales,RGIG982,JAAZNV01
,,Chromatiales,Selenomonadaceae,UBA8498
,,QNFN01,Massilibacillaceae,CG2-30-40-12
,,Competibacterales,Anaeromusaceae,UBA10151
,,REEB76,UMGS1260,UBA9644
,,SLND01,CTSoil-072,GWA2-43-14
,,Steroidobacterales,UBA7701,2-02-FULL-39-14
,,SZUA-146,Thermosinaceae,MFJZ01
,,PWYM01,Sporomusaceae,UBA927
,,XN24,Acetonemaceae,GWA1-39-11
,,GCA-2729495,UBA1444,JACROF01
,,UBA5335,Symbiobacteriaceae,2-01-FULL-38-21
,,DSM-19610,Sulfobacillaceae,GWB1-37-8
,,UBA9214,SLMV01,2-01-FULL-39-10-A
,,Thiohalobacterales,PUMD01,01-FULL-36-15b
,,JAHJQQ01,Thermaerobacteraceae,UBA1406
,,21-64-14,DUSS01,2-02-FULL-43-11-A
,,S144-34,D2,OLB23
,,Acidiferrobacterales,UBA8153,UBA1450
,,Arenicellales,JABLXB01,JACOTV01
,,Immundisolibacterales,UBA995,YC2-FULL-38-9
,,Xanthomonadales,UBA9673,2-01-FULL-40-13
,,Nevskiales,Dormibacteraceae,GWC2-37-13
,,Acidithiobacillales,CF-121,JACPES01
,,Mariprofundales,Bog-877,JAAZKO01
,,Magnetococcales,UBA8260,UBA1364
,,UBA1280,P2-11E,CG2-30-36-39
,,Holosporales,QHBO01,UBA10119
,,RF32,Limnocylindraceae,JABBGTR01
,,Rs-D84,CSP1-4,CG1-02-43-31
,,JAEUKQ01,DTKN01,VFLK01
,,CAISOG01,Roseiflexaceae,UBA1388
,,Elsterales,Chloroflexaceae,UM-FILTER-42-14
,,UBA8366,Herpetosiphonaceae,WFTH01
,,UBA7985,54-19,RGIG2560
,,Kiloniellales,Thermobaculaceae,JAHITH01
,,Oceanibaculales,UBA6265,UBA10133
,,Thalassobaculales,CFX8,UBA2277
,,Bin65,Thermomicrobiaceae,GWF
,,CADEGL01,SHYK01,WARW01
,,UBA6615,CF-72,UBA2283
,,Tistrellales,FW602-bin22,UBA12158
,,Micropepsales,JACPRP01,GWB1-38-13
,,SMXP01,JACPQK01,Ch104c
,,Caulobacterales,SZUA-161,UBA1430
,,Rhodobacterales,SpSt-899,2-01-FULL-39-21
,,Rhizobiales,E44-bin15,GWB1-39-10
,,Parvibaculales,RBG-16-60-22,UBA8517
,,UBA11222,W498,UBA12026
,,SMXS01,UBA5760,GWC2-45-19
,,Sphingomonadales,E44-bin88,UBA12042
,,Zavarziniales,Fen-1064,UBA6099
,,Ferrovibrionales,UBA2162,GCA-2770975
,,Sneathiellales,JAFGLR01,Gloeobacter
,,Minwuiales,UBA3254,JA-3-3Ab
,,GCA-2731375,UBA5627,Acaryochloris
,,SHVV01,CSSed11-197,Thermosynechococcus
,,SHVP01,Dehalococcoidaceae,CACIAM-69d
,,CAIVPW01,UBA1222,Synechococcus
,,UBA2966,RBG-13-53-26,RECH01
,,UBA828,UBA5620,JAAUTN01
,,SP197,UBA5629,JAAUTJ01
,,Geminicoccales,AB-539-J10,FACHB-8
,,UBA7887,JACPPY01,O-77
,,MPNO01,JACVQG01,Leptolyngbya_A
,,UBA11136,SHYM01,Elainella
,,SMXQ01,SHYB01,JAAUOQ01
,,Rhodospirillales,UBA11138,Leptothoe
,,Acetobacterales,GCA-2719675,Phormidesmis
,,Reyranellales,GCA-002694895,Halomicronema
,,Bin95,UBA2962,PCC-6406
,,ATCC43930,GCA-002723415,Nodosilinea
,,CACIAM-22H2,UBA826,JACVSF01
,,SHVW01,VXLM01,ULC077BIN1
,,SHVZ01,Bin127,JSC-12
,,Dongiales,TMED-70,Stenomitos
,,Azospirillales,UBA1328,Phormidesmis_A
,,DSM-16000,UBA1151,Leptolyngbya
,,BOG-932,UBA2963,MUGG01
,,TMED2,GCA-2712585,JAAUSA01
,,UBA9219,UBA2588,Hyella
,,UBA11073,UBA3495,Pleurocapsa
,,Micavibrionales,UBA6952,Stanieria
,,Puniceispirillales,JACPCL1,Prochloron
,,UBA3830,SHYT01,Cyanobacterium
,,Paracaedibacterales,UBA1127,Geminocystis
,,RUG11792,HRBIN23,Limnothrix
,,UBA6184,GCA-2717565,Gloeocapsa
,,16-39-46,UBA2985,Synechocystis
,,UBA7879,UBA6926,Crocosphaera
,,Caedimonadales,JACRBR01,Atelocyanobacterium
,,UBA9655,WHTK01,Rippkaea
,,Rickettsiales,RBG-16-68-14,CAISPN01
,,GCA-2701885,Tepidiformaceae,Gloeothece
,,HIMB59,Bin125,Chroococcus
,,TMED127,UBA2979,Microcystis
,,GCA-002720895,HRbin24,Hydrococcus
,,Pelagibacterales,RBG-16-64-32,Spirulina
,,TMED109,SHYC01,CCY15215
,,Rhizobiales_A,SHYD01,Halothece
,,Rhizobiales_B,UBA1429,PCC7113
,,GM7ARS4,UBA2200,Moorea
,,JABSOH01,SpSt-313,SIO3C6
,,UBA1177,DTPP01,SIO2C1
,,SZUA-149,DTLA01,Hassallia
,,UBA2361,SpSt-600,FACHB-152
,,SAR324,UBA7937,Anabaenopsis
,,XYD2-FULL-50-16,JAAYZQ01,Nostoc_B
,,JABDDW01,DSLN01,Trichormus
,,Bdellovibrionales,UBA3940,Amazonocrinis
,,Bacteriovoracales,J027,Dendronalium
,,CAIPTA01,Aggregatilineaceae,Nodularia
,,UBA1018,UBA2796,Aulosira
,,Silvanigrellales,A4b,Fortiea
,,Oligoflexales,UBA11657,Cylindrospermum
,,UBA2466,UBA6663,Sphaerospermopsis
,,UBA2394,VGOW01,RDXV01
,,UBA2428,RBG-16-64-43,Raphidiopsis
,,SZUA-336,E44-bin32,Anabaena
,,UBA9160,EnvOPS12,RDYJ01
,,UBA9615,Anaerolineaceae,Dolichospermum
,,UBA796,UBA4823,Nostoc
,,,UBA11858,Calothrix
,,,UBA11579,Rivularia
,,,DRMV01,Richelia
,,,UBA4811,Fischerella
,,,Promineofilaceae,Chlorogloeopsis
,,,Fen-1058,Tolypothrix_A
,,,Thermoflexaceae,Tolypothrix_B
,,,J036,Brasilonema
,,,SLSP01,Stigonema
,,,DUEL01,JAFAVL01
,,,B4-G1,Gloeocapsopsis
,,,JAFGEY01,Chroogloeocystis
,,,NAK82,Aliterella
,,,4572-78,Chroococcidiopsis
,,,J111,Phormidium_B
,,,DRVO01,Chamaesiphon
,,,UBA3071,FACHB-T130
,,,DUEN01,Roseofilum
,,,SSC4,Hormoscilla
,,,JAAEKA01,FACHB-68
,,,CG2-30-64-16,Oscillatoria
,,,Caldilineaceae,Planktothricoides
,,,J102,DSPX01
,,,JAADDB01,Phormidium_A
,,,Ardenticatenaceae,Geitlerinema
,,,UCB3,RDYZ01
,,,JACRMK01,Kamptonema
,,,SHND01,Microcoleus
,,,UBA4142,Okeania
,,,VXOZ01,Trichodesmium
,,,UBA11872,Planktothrix
,,,UBA12225,Limnospira
,,,Ktedonobacteraceae,Lyngbya
,,,UBA5177,Pseudanabaena
,,,JAAZEB01,UBA999
,,,SYMT01,UBA8156
,,,DTGP01,Synechococcus_B
,,,HRBIN16,Synechococcus_E
,,,GBS-DC,Synechococcus_C
,,,ATM1,Prochlorococcus_C
,,,Fimbriimonadaceae,Prochlorococcus
,,,Armatimonadaceae,Prochlorococcus_D
,,,Capsulimonadaceae,AG-363-N16
,,,Chthonomonadaceae,Prochlorococcus_A
,,,CAJBBX01,Prochlorococcus_B
,,,DSUL01,AG-402-N21
,,,DTLH01,AG-363-K07
,,,UBA5829,AG-363-P08
,,,DTJY01,AG-363-J23
,,,DTIZ01,BAIKAL-G1
,,,UBA1398,Vulcanococcus
,,,UBA5352,Cyanobium
,,,JABUFB01,Cyanobium_A
,,,UBA11051,NIES-981
,,,UBA10988,UBA5018
,,,HRBIN17,RGUW01
,,,Abditibacteriaceae,WH-5701
,,,CG2-30-59-28,QBMD01
,,,HRBIN32,RCC307
,,,NP-7,Synechococcus_D
,,,13-1-40CM-64-14,Vampirovibrio
,,,CSP1-3,UBA9579
,,,Eremiobacteraceae,UBA9971
,,,SCRA01,RGIG1918
,,,Baltobacteraceae,Galligastranaerophilus
,,,CADAWZ01,RUG14156
,,,RGZZ01,Galligastranaerophilus_A
,,,JADMJV01,MGBC122484
,,,Xenobiaceae,QHMH01
,,,Marinithermaceae,CAIPUE01
,,,Thermaceae,Gastranaerophilus
,,,Trueperaceae,Stercorousia
,,,JAAFIG01,Scatousia
,,,Deinococcaceae,UBA1221
,,,Actinomarinaceae,Scatenecus
,,,UBA5794,RUG14219
,,,UBA11373,Zag111
,,,SHLN01,UBA2813
,,,Bin76,UBA791
,,,ZC4RG35,UBA6984
,,,JAENVV01,CAG-196
,,,SZUA-232,UMGS1585
,,,UBA4744,UBA2883
,,,Palsa-688,UMGS1477
,,,GCA-2861595,Spyradomonas
,,,JACDEA01,Limenecus
,,,UBA8190,RUG841
,,,RAAP-2,Avigastranaerophilus
,,,Acidimicrobiaceae,PALSA-1081
,,,Bog-793,QKMZ01
,,,QHCF01,REEB67
,,,AC-14,Ga0077546
,,,CADCSY01,Obscuribacter
,,,TK06,LMEP-6097
,,,JACDCH01,XYB2-FULL-45-9
,,,JAAYBP01,Termititenax
,,,SKKL01,SXXA01
,,,UBA8139,JABIPA01
,,,SZUA-35,UBA817
,,,SHLQ01,GCA-002719695
,,,UBA11606,CAIWAN01
,,,MedAcidi-G1,1109
,,,Bin134,DTU010
,,,UBA10347,UBA5420
,,,UBA8592,UBA4996
,,,Microtrichaceae,DTU012
,,,CAIXPF01,SLOZ01
,,,Ilumatobacteraceae,JAAZMF01
,,,PALSA-610,DTU087
,,,PALSA-555,JAAZLZ01
,,,IMCC26256,Limnochorda
,,,Nitriliruptoraceae,DUMU01
,,,Euzebyaceae,ZC3RG10
,,,Egibacteraceae,ZCTH02-B6
,,,UBA5976,UBA4881
,,,AcAMD-5,UBA6256
,,,CAIYMF01,UBA4971
,,,S36-B12,JABLXL01
,,,GCA-2699445,MWDF01
,,,UBA10799,UBA5389
,,,Nanopelagicaceae,UBA10085
,,,UBA12327,JAAYHS01
,,,Acidothermaceae,UBA8346
,,,WHST01,Capillibacterium
,,,Streptosporangiaceae,JAAYGG01
,,,Frankiaceae,UBA5500
,,,SCTD01,UBA994
,,,JAFAQI01,BS524
,,,Jatrophihabitantaceae,Acidibacillus
,,,Antricoccaceae,Alicyclobacillus_H
,,,Pseudonocardiaceae,Alicyclobacillus_A
,,,Mycobacteriaceae,Alicyclobacillus_B
,,,Nakamurellaceae,Alicyclobacillus_G
,,,CADCTP01,Alicyclobacillus
,,,Geodermatophilaceae,Effusibacillus
,,,Micromonosporaceae,Tumebacillus_A
,,,Cryptosporangiaceae,Tumebacillus
,,,QHCE01,Kyrpidia
,,,HKI-0501,Bacillus_BB
,,,Sporichthyaceae,Calditerricola
,,,Motilibacteraceae,Brockia
,,,Catenulisporaceae,Hydrogenibacillus
,,,Streptomycetaceae,Marininema
,,,Jiangellaceae,Kroppenstedtia
,,,Kribbellaceae,Melghirimyces
,,,Propionibacteriaceae,Planifilum
,,,Nocardioidaceae,Thermoflavimicrobium
,,,Actinopolymorphaceae,Baia
,,,Angustibacteraceae,Shimazuella
,,,Dermatophilaceae,Laceyella
,,,Brevibacteriaceae,Thermoactinomyces
,,,Microbacteriaceae,Bhargavaea
,,,Micrococcaceae,Savagea
,,,Dermabacteraceae,Sporosarcina
,,,Bifidobacteriaceae,Indiicoccus
,,,Actinomycetaceae,Planococcus
,,,Beutenbergiaceae,Kurthia
,,,Cellulomonadaceae,Rummeliibacillus
,,,Demequinaceae,Viridibacillus
,,,Kineococcaceae,Lysinibacillus
,,,Quadrisphaeraceae,Metalysinibacillus
,,,Kineosporiaceae,Ureibacillus
,,,WHSQ01,Metasolibacillus
,,,UBA4738,Lysinibacillus_B
,,,HRBIN12,Solibacillus
,,,AC-67,Caryophanon
,,,Rubrobacteraceae,Paenisporosarcina
,,,BMS3ABIN01,Chryseomicrobium
,,,RBG-16-64-13,Psychrobacillus
,,,UBA2241,Terribacillus
,,,Miltoncostaeaceae,Gracilibacillus
,,,70-9,Halolactibacillus
,,,JACPNS01,Amphibacillus_C
,,,Thermoleophilaceae,Amphibacillus
,,,Solirubrobacteraceae,Paraliobacillus_A
,,,Gaiellaceae,Paraliobacillus
,,,F1-60-MAGs149,Sediminibacillus
,,,Eggerthellaceae,Pseudogracilibacillus
,,,UBA8131,Virgibacillus_G
,,,CADBOM01,Oceanobacillus
,,,RUG033,Virgibacillus
,,,RUG844,Virgibacillus_E
,,,Coriobacteriaceae,Virgibacillus_F
,,,Atopobiaceae,Lentibacillus
,,,UMGS124,Ornithinibacillus
,,,QAMH01,Cerasibacillus
,,,WRKU01,Lentibacillus_B
,,,WQUG01,Melghiribacillus
,,,D1FN1-002,Salinibacillus
,,,UBA2279,Piscibacillus
,,,PALSA-660,Alkalibacillus
,,,UBA912,Allobacillus
,,,SLCP01,Pontibacillus
,,,PHET01,Halobacillus
,,,JAAXUF01,Halobacillus_A
,,,Anoxymicrobiaceae,Salimicrobium
,,,Geothermincolaceae,Thalassobacillus
,,,RBG-13-55-18,Aureibacillus
,,,Humimicrobiaceae,Bacillus_BL
,,,Aquicultoraceae,Bacillus_S
,,,Oleimmundimicrobiaceae,Bacillus_L
,,,Caldatribacteriaceae,45385
,,,Atribacteraceae,Alkalihalobacillus_A
,,,UBA6794,Bacillus_H
,,,34-128,Alkalihalobacillus
,,,AE-B3A,Bacillus_BH
,,,B3-G15,Bacillus_AO
,,,PWQF01,Anaerobacillus
,,,SLGR01,Salipaludibacillus
,,,CG03,Salisediminibacterium
,,,UBA8919,Alkalicoccus
,,,JACQPE01,Evansella
,,,UBA9959,Alteribacter
,,,Elusimicrobiaceae,Salsuginibacillus
,,,JACQJN01,Geomicrobium_A
,,,UBA9628,Salicibibacter
,,,JACRDR01,Salibacterium
,,,UBA1565,Alteribacillus
,,,O2-12-FULL-59-9,Marinococcus
,,,2-02-FULL-39-32,Fictibacillus
,,,F11,Fictibacillus_C
,,,FEN-1173,Pullulanibacillus
,,,DTEH01,Terrilactibacillus
,,,XYA2-FULL-39-19,Sporolactobacillus
,,,Endomicrobiaceae,Scopulibacillus
,,,XYA2-FULL-47-53,Anaerobacillus_A
,,,WVXT01,Pueribacillus
,,,UBA6262,Calidifontibacillus
,,,Palsa-1180,Bacillus_BS
,,,JAAXVQ01,Bacillus_A
,,,CAIOVX01,Ectobacillus
,,,D2-FULL-39-29,Gottfriedia
,,,DSYL01,Bacillus_BV
,,,Palsa-1178,Fredinandcohnia
,,,PGYV01,Litchfieldia
,,,CG2-30-40-21,Anoxybacillus_B
,,,UBA7526,Anoxybacillus_A
,,,UBA1551,Saccharococcus
,,,JACRDZ01,Geobacillus
,,,UBA6266,Parageobacillus
,,,SURF-26,Anoxybacillus
,,,JACPWU01,Bacillus
,,,UBA9783,Bacillus_P
,,,UBA2987,Metabacillus
,,,Verruco-01,Metabacillus_B
,,,UBA2995,Bacillus_I
,,,T3Sed10-336,Bacillus_BA
,,,Opitutaceae,Priestia
,,,Puniceicoccaceae,Sutcliffiella_A
,,,MB11C04,Neobacillus
,,,DSM-45221,URHB0009
,,,CG1-02-43-26,Bacillus_D
,,,KCTC-12870,Bacillus_BU
,,,CAG-312,Bacillus_AZ
,,,UBA953,Mesobacillus
,,,JABWAM01,Bacillus_BJ
,,,J093,Bacillus_Z
,,,CAIMTB01,Bacillus_BD
,,,UBA9464,Cytobacillus
,,,AAA164-E04,Robertmurraya
,,,GCA-2715965,Niallia
,,,UBA1096,Bacillus_BN
,,,UBA1100,Bacillus_AD
,,,CAIYYI01,Bacillus_AI
,,,UBA11320,Peribacillus_A
,,,SXTU01,Peribacillus
,,,AV2,Pradoshia
,,,SIBE01,Falsibacillus
,,,F1-12-MAGs170,Bacillus_BM
,,,SXQI01,Rossellomorea
,,,Palsa-1400,Jeotgalibacillus
,,,PALSA-1396,Domibacillus
,,,Pedosphaeraceae,Pseudobacillus
,,,UBA3939,FJAT-46582
,,,UBA8199,Bacillus_O
,,,UBA11358,Siminovitchia
,,,DSYF01,Lederbergia
,,,UBA1319,FJAT-49711
,,,UBA1412,Bacillus_AH
,,,NGM72-4,Weizmannia
,,,CAIQCK01,Margalitia
,,,Palsa-1439,Heyndrickxia
,,,UBA3015,RUG14133
,,,JAAUTS01,Bacillus_J
,,,GAS474,Desemzia
,,,Methylacidiphilaceae,Carnobacterium_A
,,,UBA1321,Carnobacterium
,,,JAFAMB01,Marinilactibacillus
,,,Chthoniobacteraceae,Alkalibacterium
,,,UBA10450,Atopostipes
,,,JACTMZ01,Aerococcus
,,,UBA6821,Globicatella
,,,Xiphinematobacteraceae,Abiotrophia
,,,Terrimicrobiaceae,Facklamia
,,,SLCJ01,DSM-111022
,,,Akkermansiaceae,Facklamia_A
,,,DEV007,Suicoccus
,,,V1-33,WM01
,,,Verrucomicrobiaceae,Granulicatella
,,,UBA3636,Atopobacter
,,,JAAYNR01,Trichococcus
,,,UBA1067,Jeotgalibaca
,,,JAAYLN01,Liquorilactobacillus
,,,SLMC01,Ligilactobacillus
,,,UBA8416,Pediococcus
,,,JABMPJ01,Apilactobacillus
,,,VSJD01,Fructilactobacillus
,,,PXCX01,Lentilactobacillus
,,,CAITUY01,Secundilactobacillus
,,,SLAD01,Levilactobacillus
,,,CAACVY01,Fructobacillus
,,,JAGNIJ01,Leuconostoc
,,,CAIQIC01,Oenococcus
,,,Lenti-01,Weissella
,,,B70-G9,Weissella_A
,,,Pontiellaceae,Furfurilactobacillus
,,,UBA6053,Paucilactobacillus
,,,GWF2-50-93,Limosilactobacillus
,,,JAADHT01,Lactiplantibacillus
,,,UBA1829,Loigolactobacillus
,,,GWF2-45-14,Lacticaseibacillus
,,,SZUA-371,Latilactobacillus
,,,Victivallaceae,Lapidilactobacillus
,,,CAITYL01,Lactobacillus
,,,Lenti-02,Companilactobacillus
,,,UBA1407,Bombilactobacillus
,,,PUNB01,Schleiferilactobacillus
,,,UBA3054,Agrilactobacillus
,,,B51-G9,Vagococcus
,,,RGXB01,Vagococcus_D
,,,2-12-FULL-49-11,Vagococcus_A
,,,Simkaniaceae,Enterococcus_J
,,,Rhabdochlamydiaceae,Enterococcus
,,,SM23-39,Enterococcus_B
,,,VFKH01,Enterococcus_D
,,,SLFE01,Enterococcus_E
,,,Waddliaceae,Enterococcus_G
,,,Parachlamydiaceae,Enterococcus_F
,,,Criblamydiaceae,Enterococcus_I
,,,FEN-1388,Tetragenococcus
,,,JAAKFR01,Enterococcus_C
,,,Chlamydiaceae,Enterococcus_A
,,,DTJG01,Streptococcus
,,,JAFGKM01,Lactococcus
,,,MWAK01,Lactococcus_A
,,,CAIJMQ01,Floricoccus
,,,4484-213,Brochothrix
,,,JACROU01,Listeria_A
,,,1-14-0-20-45-26,Listeria
,,,01-FULL-45-10b,Gemella
,,,JACQLI01,Macrococcus
,,,UBA2337,Macrococcus_B
,,,Omnitrophaceae,Mammaliicoccus
,,,SKK-01,Staphylococcus
,,,4484-171,Jeotgalicoccus
,,,B32-G15,Jeotgalicoccus_A
,,,S143-82,Nosocomiicoccus
,,,Kpj58rc,Salinicoccus
,,,GCA-002753745,Pelethenecus
,,,JAHJCI01,Anaeroplasma
,,,UBA6249,CAG-307
,,,UBA12090,Acholeplasma_D
,,,1-14-0-20-42-13,Phytoplasma
,,,UBA1572,Acholeplasma
,,,B26-G9,Acholeplasma_A
,,,UBA6215,UBA8290
,,,JABMRG01,RECG01
,,,2-01-FULL-45-10,MZ-XQ
,,,RBG-13-46-9,WOFB19
,,,JABMRJ01,UBA6181
,,,JAHIPI01,UBA2284
,,,JAFGHF01,DUQW01
,,,UBA10183,Acholeplasma_E
,,,2-02-FULL-51-18,UBA5453
,,,JAGOUK01,DUQU01
,,,JACQQZ01,4572-104
,,,1-14-0-20-64-10,UBA2289
,,,UBA9649,Zrk29
,,,GCA-2687025,JAAYZB01
,,,UBA9662,UBA12489
,,,WGA-3G,UBA5603
,,,SURF-5,UBA1188
,,,Hydrogenedentaceae,Izemoplasma_B
,,,GCA-2746185,T1SED10-81
,,,CAITNO01,B1SED10-225
,,,WGMK01,CSBR16-104
,,,CAIZGN01,SLQR01
,,,SLHB01,SKGI01
,,,SURF-12,CSBR16-87
,,,OLB16,UBA1427
,,,Sumerlaeaceae,UMGS75
,,,SLMS01,CAG-313
,,,JABWBI01,UBA1737
,,,MWCT01,UMGS1109
,,,UBA8349,HGM10611
,,,RBG-13-66-14,UBA1231
,,,UBA1146,RGIG8164
,,,UBA8898,RGIG3506
,,,SXIK01,UBA2253
,,,UBA8108,DTU067
,,,J058,UBA3946
,,,DRQF01,CAG-698
,,,CAIWVZ01,Tener-01
,,,GCA-002687715,DUNF01
,,,JADJEK01,CAG-449
,,,SIAN01,UBA3210
,,,GCA-002748355,CAG-345
,,,UBA2386,Scatoplasma
,,,JADKAF01,CAG-568
,,,JACQFD01,Enterosoma
,,,GCA-002686595,CAG-826
,,,UBA1135,RUG131
,,,UBA2392,UBA970
,,,HRBIN36,UBA5455
,,,Gemmataceae,UBA1361
,,,Mal52,RGIG3315
,,,UBA10511,UBA2450
,,,Planctomycetaceae,SIG220
,,,Thermoguttaceae,RUG14515
,,,PALSA-1355,RUG13091
,,,PNKZ01,Onthovivens
,,,Pirellulaceae,UBA3207
,,,UBA7805,UBA1424
,,,Lacipirellulaceae,Enteromonas
,,,UBA1268,UBA4951
,,,Isosphaeraceae,Caccosoma
,,,FEN-1346,Fimiplasma
,,,JAACEH01,Beduini
,,,Zrk34,Erysipelatoclostridium
,,,Phycisphaeraceae,Faecalibacillus
,,,SM1A02,Stoquefichus
,,,UBA1924,Longibaculum
,,,UBA5793,Massiliomicrobiota
,,,WQYP01,Catenibacterium
,,,Tepidisphaeraceae,Intestinibaculum
,,,SM23-30,Sharpea
,,,Sedimentisphaeraceae,SIG230
,,,Anaerohalosphaeraceae,Dielma
,,,UBA12454,C-19
,,,SG8-4,Clostridium_AQ
,,,FEN-1343,Amedibacterium
,,,SM23-33,Floccifex
,,,JAAYCJ01,Faecalicoccus
,,,Fen-1342,RUG11795
,,,UTPLA1,Absicoccus
,,,UBA1845,Holdemanella
,,,PWPN01,Dubosiella
,,,DSOQ01,Faecalibaculum
,,,2-02-FULL-50-16-A,Allobaculum
,,,Scalinduaceae,Merdibacter
,,,Brocadiaceae,Breznakia
,,,SM23-32,RUG521
,,,JACQXL01,UBA1783
,,,WSZJ01,RGIG4607
,,,JACPWG01,RUG11872
,,,SBBU01,RGIG1896
,,,JACPRB01,Holdemania
,,,DSUN01,Bulleidia
,,,PUPC01,UBA9076
,,,JABWCH01,RGIG5669
